chmonsterinterior                  0x801C0110
chmricecube                        0x801C5860
chmrsboggy                         0x801BD0D0
chmrsboggyhome                     0x801E4790
chmrsicecube                       0x801BD0D0
chmrtannoy                         0x801E4790
chmumbohealspell                   0x801C5860
chmumbopad                         0x801A6800
chmumbopadstatue                   0x801E4790
chmumboskullfakearchpanellava      0x801E4790
chmumboskulls                      0x801E4790
chnastycavemen                     0x801A6800
chnests                            0x801D4420
chnewfreezy                        0x8019B940
chnewmumbo                         0x8019B940
chnewshovel                        0x801A6800
chnicecavemen                      0x801C0110
chnicecavemenguard                 0x801BD0D0
chnutsnbolts                       0x80191C00
choctopus                          0x801C5860
choildrill                         0x801D4420
chonearmbandit                     0x801D4420
chpawnbroker                       0x801A6800
chperspexbox                       0x801E4790
chperspexboxswitch                 0x801E4790
chphlegm                           0x801BD0D0
chpickups                          0x801BD0D0
chping                             0x801C6620
chpiranha                          0x8019B940
chplatuegrill                      0x801E4790
chpodiumbankaz                     0x801C5860
chpoolkids                         0x801D4420
chpotogoldbits                     0x801BD0D0
chpotogoldgame                     0x801C0110
chpowerhut                         0x801C5860
chpowerhutwitchy                   0x801BD0D0
chprisonbits                       0x801A6800
chproplighter                      0x801E4790
chpufferfish                       0x801D4420
chpumproomgrill                    0x801E4790
chpumproomswitch                   0x801C6620
chquicksandbaddy                   0x801D4420
chquiz                             0x801ADB90
chquizexitdoor                     0x801E4790
chquizremotectrl                   0x801C5860
chrainbow                          0x80191C00
chrainripples                      0x801C6620
chsabreman                         0x801C0110
chscorepoints                      0x801C6620
chscreenadjust                     0x801C6620
chseaweedbaddy                     0x80191C00
chsecreteggs                       0x801C6620
chshockjump                        0x801C6620
chsignpost                         0x801C6620
chsilo                             0x801D4420
chsmalltrexdoor                    0x801C6620
chsounder                          0x801E4790
chsparkle                          0x801E4790
chspiralgrill                      0x801E4790
chspotlight                        0x801C5860
chsquits                           0x801C5860
chstadiumdoors                     0x801E21D0
chstarspinnerctrl                  0x801BD0D0
chstarspinnerplanet                0x801C6620
chstarspinnerstar                  0x801C5860
chstatictorch                      0x801E4790
