chfantasycannon                      0xA07
chfantasyonion                       0xA09
chfantasyeyeball                     0xA0A
chdinofamilysmall                    0xA0C
chdinofamilysick                     0xA0D
choildrill                           0xA10
chfloaty                             0xA13
chdinofamilymother                   0xA15
chmumbohealspell                     0xA16
chdinofamilyfx                       0xA17
chlighthalo                          0xA18
chbubble                             0xA19
chcrashmat                           0xA1A
chjellycastle                        0xA1B
chfootwear                           0xA1C
chicekey                             0xA21
chheggy                              0xA22
chplatuegrill                        0xA24
chbkcart                             0xA26
chicekeydoor                         0xA27
chsecreteggs                         0xA28
chworlddoors                         0xA29
chfantasysafeswitch                  0xA2A
chquiz                               0xA2B
chquizexitdoor                       0xA30
chtoxicroomprops                     0xA31
chbobpanel                           0xA34
chdeflect                            0xA35
cosectionstor                        0xA36
cothemedll                           0xA3B
cosection                            0xA41
plsu                                 0xA42
plcamera                             0xA46
dbzone                               0xA54
dbpalette                            0xA59
dbmorph                              0xA5B
dbvpl                                0xA5D
dbanim                               0xA5F
dbid                                 0xA61
dblight                              0xA64
dbvtxnormal                          0xA66
dbskeleton                           0xA67
dbtex                                0xA6B
gcgame                               0xA6D
gcgoto                               0xA6F
gcsectionskip                        0xA7E
gczoombox                            0xA7F
gccubeDll                            0xAA9
gcdialogDll                          0xAB1
gcnewoption                          0xAB2
gcdialogexec                         0xAE4
gcwater                              0xAEE
gclightsDll                          0xAEF
gcboundDll                           0xAF5
gcmapsects                           0xAFE
gcmapsects_lagoontop                 0xB17
gcmapsects_lagoonmid                 0xB19
gcmapsects_lagoonbot                 0xB1B
gccollectDll                         0xB1D
gcskyDll                             0xB26
gcdialogcamera                       0xB2A
gcaudiolist                          0xB34
gcintrotext                          0xB36
gcmapDll                             0xB39
gcfrontend                           0xB3F
gctransitionDll                      0xB4E
gcnewpause                           0xB58
gclevel                              0xB5D
gcsectionDll                         0xB62
gccubesearch                         0xB68
gcstatusDll                          0xB7B
gcegg                                0xB8F
gcextra                              0xB97
gczoomboxdata                        0xB9A
gcgamefix                            0xBA1
glreflight                           0xBA3
glsplinecs                           0xBA4
glsplinefuncs                        0xBA6
glsplinefind                         0xBA8
glgamestore                          0xBAD
glsplineDll                          0xBB3
glsplinenode                         0xBB6
gleeprom                             0xBB8
glsavegame                           0xBBB
glgamedata                           0xBC6
glglobaldata                         0xBCD
glintrosyncDll                       0xBD2
glhittableDll                        0xBD8
glid                                 0xBE3
glrecord                             0xBE9
glglobalsettings                     0xBED
glcrc                                0xBF8
gldbstring                           0xBFA
gldialog                             0xBFE
glzone                               0xC04
glpackvtx                            0xC0B
glcutDll                             0xC0D
glidmake                             0xC25
gldbDll                              0xC2A
fxsparkle                            0xC2D
fxrain                               0xC30
fxleaves                             0xC39
fxdlsmoke                            0xC40
fxfontstring                         0xC41
fxripple                             0xC42
fxairbub                             0xC44
fxsplash25d                          0xC46
fxstep                               0xC47
fxegg                                0xC55
fxtwinkle                            0xC5E
fxspgold                             0xC61
fxsplash                             0xC64
fxgenlist                            0xC67
fxkern                               0xC6A
fxdialog                             0xC6D
gsworldDll                           0xC72
gspropsDll                           0xC76
gspropctrl                           0xC7B
gspropprop                           0xC88
gspropmarker                         0xC8A
gsattract                            0xC8E
gsproplookup                         0xC94
idbounce                             0xC96
idglow                               0xC9E
idlight                              0xCA2
idwave                               0xCA6
idflash                              0xCAA
idflasha                             0xCAE
idglowa                              0xCB3
idscroll                             0xCB8
idtwinkle                            0xCBC
idflame                              0xCC3
idwater                              0xCC8
idwibble                             0xCCD
idtwinklea                           0xCD2
idtwinklecolour                      0xCD6
idworld                              0xCDC
idworldmake                          0xCE2
inantab                              0xCEA
indrv_lights                         0xCEF
indrv_fx                             0xCF0
indrv_audio                          0xCF1
mlwave                               0xCF2
vplight                              0xCFC
vpwibble                             0xD01
vpflicker                            0xD05
vpglow                               0xD09
vpscroll                             0xD0D
rtlight                              0xD11
vpmodule                             0xD14
mlspline                             0xD19
ncbastring                           0xD27
ncbaspiral                           0xD29
ncbapan                              0xD2E
ncbaledge                            0xD32
ncfixposrot                          0xD35
ncbaclimb                            0xD3B
ncbadie                              0xD3F
ncbadive                             0xD44
ncbafly                              0xD49
ncbajig                              0xD4F
ncbaswim                             0xD50
ncbafixpos                           0xD54
ncbadolly                            0xD59
ncbaspline                           0xD5E
ncba1p                               0xD67
ncstart                              0xD74
ncbadeflect                          0xD75
ncbawaypoint                         0xD77
ncbapivot                            0xD7B
ncbatarget                           0xD7F
ncpod                                0xD85
ncpoddialog                          0xDA7
ncpoducam                            0xDB3
ncpodfixpos                          0xDBF
ncbabee                              0xDC6
ncbaglide                            0xDC9
ncbasub                              0xDCC
ncbasuck                             0xDCF
ncbakaztorp                          0xDD2
scradar                              0xDD5
gemarkersDll                         0xDD7
suexpressjoint                       0xDD9
suexpression                         0xDDE
subaddie3d                           0xDF3
sumumbofx                            0xDF5
suflamefx                            0xE12
sumultiscore                         0xE17
sumole                               0xE24
subaddiebounce                       0xE39
sukickball                           0xE3C
suexpressmorph                       0xE50
sufreezy                             0xE56
subaddiejoy                          0xE5E
subaddiedraw25d                      0xE64
subaddiefind                         0xE68
subaddiefade                         0xE75
subaddieaudioquick                   0xE82
subaddieaudioloop                    0xE87
suspline                             0xE90
susplinet                            0xEA4
sucoasterfly                         0xEB8
suchase                              0xEBF
subaddiestore                        0xEC1
sudeflect                            0xEC3
subaddiesect                         0xEC8
subaddierouteDll                     0xECB
subaddievolume                       0xED4
suautobaddies                        0xED5
subaddieitem                         0xED9
subaddiecustomhits                   0xEDD
subaddielink                         0xEE3
subaddiefx                           0xEE9
subaddiepalette                      0xEEB
subaddiemulti                        0xEF0
subaddiemarker                       0xEF7
subaddieskeleton                     0xEF9
sucoaster                            0xEFE
subaddiedialog                       0xF14
sucoasterdata                        0xF25
sucoasterflydata                     0xF2B
sudialog                             0xF31
susubgame                            0xF32
sucoasterplayer                      0xF3E
sucoasterhit                         0xF42
sueggmisc                            0xF45
trangler                             0xF49
sutempleboss                         0xF4A
sudeathmatch                         0xF4B
suegg                                0xF4C
sueggmove                            0xF64
subaddieDll                          0xF6F
subaddietaxi                         0xF7A
scinfobar                            0xF8B
sccustom                             0xFA2
seqdat                               0xFAA
suinv                                0xFAB
sujiggy                              0xFAC
sumissilehome                        0xFC6
surestart                            0xFCD
subaddiezone                         0xFCE
suquiz                               0xFD0
sulights                             0xFEC
sufade                               0xFF2
sccustom_big                         0xFF5
sccustom_banjo                       0xFF9
gztrace                              0xFFD
gzreg                                0xFFE
gzthread                             0x1000
gzpublic                             0x1002
